period,respondent,respondent-name,fueltype,type-name,timezone,timezone-description,value,value-units
2022-10-27,NW,Northwest,SUN,Solar,Central,Central,34292,megawatthours
2022-10-26,TEX,Texas,SUN,Solar,Mountain,Mountain,78424,megawatthours
2022-10-27,PNM,Public Service Company of New Mexico,SUN,Solar,Mountain,Mountain,2280,megawatthours
2022-10-26,NYIS,New York Independent System Operator,SUN,Solar,Central,Central,0,megawatthours
2022-10-26,TAL,City of Tallahassee,SUN,Solar,Central,Central,416,megawatthours
2022-10-27,AZPS,Arizona Public Service Company,SUN,Solar,Eastern,Eastern,4373,megawatthours
2022-10-27,TVA,Tennessee Valley Authority,SUN,Solar,Central,Central,4444,megawatthours
2022-10-26,CAR,Carolinas,SUN,Solar,Pacific,Pacific,14072,megawatthours
2022-10-26,FMPP,Florida Municipal Power Pool,SUN,Solar,Central,Central,1202,megawatthours
2022-10-27,FPC,"Duke Energy Florida, Inc.",SUN,Solar,Eastern,Eastern,4802,megawatthours
2022-10-27,ERCO,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Central,Central,49456,megawatthours
2022-10-26,SEC,Seminole Electric Cooperative,SUN,Solar,Arizona,Arizona,9,megawatthours
2022-10-26,TEX,Texas,SUN,Solar,Arizona,Arizona,78424,megawatthours
2022-10-27,PSCO,Public Service Company of Colorado,SUN,Solar,Eastern,Eastern,1060,megawatthours
2022-10-26,NYIS,New York Independent System Operator,SUN,Solar,Mountain,Mountain,0,megawatthours
2022-10-26,SWPP,Southwest Power Pool,SUN,Solar,Arizona,Arizona,1213,megawatthours
2022-10-27,AVA,Avista Corporation,SUN,Solar,Eastern,Eastern,82,megawatthours
2022-10-26,NE,New England,SUN,Solar,Mountain,Mountain,695,megawatthours
2022-10-26,CPLE,Duke Energy Progress East,SUN,Solar,Mountain,Mountain,7020,megawatthours
2022-10-27,NEVP,Nevada Power Company,SUN,Solar,Arizona,Arizona,16371,megawatthours
2022-10-27,TEPC,Tucson Electric Power,SUN,Solar,Mountain,Mountain,3039,megawatthours
2022-10-26,TEC,Tampa Electric Company,SUN,Solar,Arizona,Arizona,0,megawatthours
2022-10-27,ISNE,ISO New England,SUN,Solar,Eastern,Eastern,3093,megawatthours
2022-10-27,IPCO,Idaho Power Company,SUN,Solar,Eastern,Eastern,1488,megawatthours
2022-10-26,MIDA,Mid-Atlantic,SUN,Solar,Mountain,Mountain,6242,megawatthours
2022-10-26,NE,New England,SUN,Solar,Central,Central,695,megawatthours
2022-10-27,GRID,"Gridforce Energy Management, LLC",SUN,Solar,Eastern,Eastern,998,megawatthours
2022-10-26,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Pacific,Pacific,14249,megawatthours
2022-10-26,FLA,Florida,SUN,Solar,Mountain,Mountain,28577,megawatthours
2022-10-27,TAL,City of Tallahassee,SUN,Solar,Eastern,Eastern,395,megawatthours
2022-10-27,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,SUN,Solar,Central,Central,76,megawatthours
2022-10-27,IPCO,Idaho Power Company,SUN,Solar,Pacific,Pacific,1488,megawatthours
2022-10-26,PJM,"PJM Interconnection, LLC",SUN,Solar,Central,Central,6242,megawatthours
2022-10-27,CISO,California Independent System Operator,SUN,Solar,Pacific,Pacific,93936,megawatthours
2022-10-27,TVA,Tennessee Valley Authority,SUN,Solar,Eastern,Eastern,4442,megawatthours
2022-10-27,PNM,Public Service Company of New Mexico,SUN,Solar,Pacific,Pacific,2279,megawatthours
2022-10-27,IID,Imperial Irrigation District,SUN,Solar,Central,Central,3881,megawatthours
2022-10-27,PSEI,"Puget Sound Energy, Inc.",SUN,Solar,Arizona,Arizona,35,megawatthours
2022-10-26,NE,New England,SUN,Solar,Pacific,Pacific,695,megawatthours
2022-10-27,AVRN,"Avangrid Renewables, LLC",SUN,Solar,Pacific,Pacific,0,megawatthours
